trial,class,flips,ns,seed,kem,decap_rc
344,clean,0,14333,123,kyber1024,0
345,clean,0,14292,123,kyber1024,0
346,clean,0,14333,123,kyber1024,0
347,clean,0,14292,123,kyber1024,0
348,clean,0,14250,123,kyber1024,0
349,clean,0,14334,123,kyber1024,0
350,clean,0,14291,123,kyber1024,0
351,clean,0,14292,123,kyber1024,0
352,clean,0,14250,123,kyber1024,0
353,clean,0,14292,123,kyber1024,0
354,clean,0,14166,123,kyber1024,0
355,clean,0,14292,123,kyber1024,0
356,clean,0,14250,123,kyber1024,0
357,clean,0,14333,123,kyber1024,0
358,clean,0,14208,123,kyber1024,0
359,clean,0,14375,123,kyber1024,0
360,clean,0,14375,123,kyber1024,0
361,clean,0,14334,123,kyber1024,0
362,clean,0,14333,123,kyber1024,0
363,clean,0,14375,123,kyber1024,0
364,clean,0,14417,123,kyber1024,0
365,clean,0,14416,123,kyber1024,0
366,clean,0,14375,123,kyber1024,0
367,clean,0,14541,123,kyber1024,0
368,clean,0,14333,123,kyber1024,0
369,clean,0,14292,123,kyber1024,0
370,clean,0,14500,123,kyber1024,0
371,clean,0,14333,123,kyber1024,0
372,clean,0,14583,123,kyber1024,0
373,clean,0,14667,123,kyber1024,0
374,clean,0,14458,123,kyber1024,0
375,clean,0,14333,123,kyber1024,0
376,clean,0,14250,123,kyber1024,0
377,clean,0,14417,123,kyber1024,0
378,clean,0,14500,123,kyber1024,0
379,clean,0,14292,123,kyber1024,0
380,clean,0,14417,123,kyber1024,0
381,clean,0,14500,123,kyber1024,0
382,clean,0,14500,123,kyber1024,0
383,clean,0,14417,123,kyber1024,0
384,clean,0,14500,123,kyber1024,0
385,clean,0,14333,123,kyber1024,0
386,clean,0,14416,123,kyber1024,0
387,clean,0,14375,123,kyber1024,0
388,clean,0,14333,123,kyber1024,0
389,clean,0,14334,123,kyber1024,0
390,clean,0,14292,123,kyber1024,0
391,clean,0,14292,123,kyber1024,0
392,clean,0,14291,123,kyber1024,0
393,clean,0,14292,123,kyber1024,0
394,clean,0,14375,123,kyber1024,0
395,clean,0,14291,123,kyber1024,0
396,clean,0,14250,123,kyber1024,0
397,clean,0,14416,123,kyber1024,0
398,clean,0,14333,123,kyber1024,0
399,clean,0,14292,123,kyber1024,0
400,clean,0,14333,123,kyber1024,0
